                  50                   2                  20
                   0                   0                   0        0.5000000000
                   0                   0                   1        0.3915345624
                   0                   0                   2        0.3005765250
                   0                   0                   3        0.2393046921
                   0                   0                   4        0.1964647779
                   0                   0                   5        0.1763929487
                   0                   0                   6        0.1417904947
                   0                   0                   7        0.1252501871
                   0                   0                   8        0.0956290375
                   0                   0                   9        0.0755727128
                   0                   0                  10        0.0627080515
                   0                   0                  11        0.0633931499
                   0                   0                  12        0.0540453974
                   0                   0                  13        0.0408719166
                   0                   0                  14        0.0269057531
                   0                   0                  15        0.0307743108
                   0                   0                  16        0.0261983680
                   0                   0                  17        0.0184636155
                   0                   0                  18        0.0149036175
                   0                   0                  19        0.0151440072
                   0                   1                   0        0.5000000000
                   0                   1                   1        0.3836540941
                   0                   1                   2        0.2950233588
                   0                   1                   3        0.2256866323
                   0                   1                   4        0.1827048780
                   0                   1                   5        0.1439499295
                   0                   1                   6        0.1176329071
                   0                   1                   7        0.1066531275
                   0                   1                   8        0.0985012234
                   0                   1                   9        0.0765737889
                   0                   1                  10        0.0656228552
                   0                   1                  11        0.0546100878
                   0                   1                  12        0.0564664336
                   0                   1                  13        0.0476879477
                   0                   1                  14        0.0414649702
                   0                   1                  15        0.0363910982
                   0                   1                  16        0.0344957683
                   0                   1                  17        0.0317371106
                   0                   1                  18        0.0285443785
                   0                   1                  19        0.0339165647
                   1                   0                   0        0.5000000000
                   1                   0                   1        0.3761747095
                   1                   0                   2        0.3027406649
                   1                   0                   3        0.2334502138
                   1                   0                   4        0.1855228075
                   1                   0                   5        0.1460579422
                   1                   0                   6        0.1244907762
                   1                   0                   7        0.1168630326
                   1                   0                   8        0.1026190122
                   1                   0                   9        0.0855793487
                   1                   0                  10        0.0669152411
                   1                   0                  11        0.0576013436
                   1                   0                  12        0.0451368224
                   1                   0                  13        0.0399338653
                   1                   0                  14        0.0349086365
                   1                   0                  15        0.0306074287
                   1                   0                  16        0.0281302131
                   1                   0                  17        0.0277728032
                   1                   0                  18        0.0368039019
                   1                   0                  19        0.0232202767
                   1                   1                   0        0.5000000000
                   1                   1                   1        0.3823316694
                   1                   1                   2        0.3025699442
                   1                   1                   3        0.2277563657
                   1                   1                   4        0.1820053114
                   1                   1                   5        0.1391938429
                   1                   1                   6        0.1161621253
                   1                   1                   7        0.1127192961
                   1                   1                   8        0.0885881936
                   1                   1                   9        0.0716324582
                   1                   1                  10        0.0603482780
                   1                   1                  11        0.0540805505
                   1                   1                  12        0.0468562017
                   1                   1                  13        0.0380810045
                   1                   1                  14        0.0392097947
                   1                   1                  15        0.0311080119
